channel,degree_centrality,betweenness_centrality,pagerank
NickJonasVEVO,0.055744062045564716,7.36651058512834e-05,0.0007710678906942469
Molly Burke,0.031507513330101794,0.0012105365405682483,0.0007697838490946765
Clevver Style,0.04217159476490548,0.001865765805115974,0.0007663409017385808
GraceVanderWaalVEVO,0.06156083373727581,0.00027446847741471154,0.0007629422250768918
Peter McKinnon,0.024236548715462918,0.0002389784675462295,0.0007628340776025605
Liza Koshy,0.03587009209888512,0.006500379453594438,0.0007611574122803886
The Scran Line,0.04701890450799806,0.0009939497607161503,0.0007609196502069331
1MILLION Dance Studio,0.0664081434803684,0.00028106136452120433,0.0007599746800640291
DisneyMusicVEVO,0.060106640814348036,0.0031032573956546678,0.0007580538979000328
KaceyMusgravesVEVO,0.04653417353368881,0.00013776274083037823,0.000755121663414878
BBC Earth,0.011148812409112942,0.0004296343795683737,0.0007540486878686979
Brian Hull,0.0804653417353369,0.0029386334732591076,0.0007529667862113161
Camila Cabello,0.05622879301987397,0.0011216660734705043,0.0007468185880833221
Yes Theory,0.07416383906931653,0.001404419014454532,0.0007457944285899932
ElectroBOOM,0.02714493456131847,0.0013277942933033744,0.0007422276295446208
jeffreestar,0.041202132816286964,1.1830274207098146e-05,0.0007422183233665376
TinasheOfficialVEVO,0.053320407174018425,1.7373168829941263e-05,0.0007398591531315445
NBC,0.08337372758119244,0.00046548022678226614,0.0007334022771370411
Discovery UK,0.055259331071255455,0.0006338569116042201,0.0007284803250170791
Josh Groban,0.07319437712069801,0.0023288600847991897,0.0007269990198981952
Architectural Digest,0.05913717886572952,0.0013111216641123059,0.0007252998650156894
ELLE,0.043141056713523994,0.0019408695127041736,0.0007244127059924137
John Mayer,0.03344643722733883,1.9789981342548984e-05,0.0007241484959544078
DONG,0.04653417353368881,0.0,0.0007204147776062205
Queen Naija,0.058167716917111006,0.0036812807922309817,0.0007194796968076911
BuzzFeed Nifty,0.044110518662142516,0.00015859916107275162,0.0007192034477516723
Jaclyn Hill,0.03296170625302957,0.0008239399284466878,0.000718161176890545
Joey Graceffa,0.02956858943286476,0.0002872741183337151,0.000717364182977506
FX Networks,0.07416383906931653,0.00015451792101940092,0.0007169560713785151
CNBC,0.028114396509936985,0.0006217593529710135,0.0007163892843996028
C-SPAN,0.02714493456131847,0.0002543229062298943,0.0007120182907599338
Fox News,0.024236548715462918,8.651585461266207e-05,0.0007100451792049681
MyHarto,0.02956858943286476,0.00042468655947057134,0.0007100359938718524
ChildishGambinoVEVO,0.0373242850218129,0.00013608276110822705,0.0007071200735899111
Daisy Marquez,0.026660203587009212,0.002477226814391271,0.0007018952684469006
Eater,0.03926320891904993,0.0008887328199445757,0.0006999612644741469
Sailor J,0.0664081434803684,0.0029246622875339,0.0006995612258115841
LiamPayneVEVO,0.04750363548230732,0.0002547370232667754,0.0006995157208730266
KendrickLamarVEVO,0.05380513814832768,0.003070523610048318,0.0006990926565287776
AzealiaBanksVEVO,0.03296170625302957,2.037002817721344e-05,0.0006986254620936631
MustardVEVO,0.03296170625302957,2.037002817721344e-05,0.0006986254620936631
NickyJamTV,0.03296170625302957,2.037002817721344e-05,0.0006986254620936631
Ryland Adams,0.05622879301987397,2.7390277251217756e-05,0.0006970702952036919
Skip and Shannon: UNDISPUTED,0.02132816286960737,0.0012354923875948815,0.0006923658589230059
